Loaded symbols: AMZN, FLOT, FLRN, FLTR, FTLS, FTSL, GBIL, GLD, GOOG, GSY, IAK, IBIT, IONQ, ITA, IWM, IYW, JAAA, JEPI, JPST, MINT, MO, MSFT, NEAR, NVDA, PAXS, PLTR, QQQ, QTUM, SCHD, SHY, SHYG, SPY, STWD, TSLA, VIG, VNQ, VRIG, VCSH, VNQ, XDTE, XLP
Objective: best total returns while minimizing risk, giving equal importance to both return and risk

SYMB1 SYMB2  WINNER  WCOUNT  COST($)
 FLRN   IAK    FLRN     5.0     0.15
 FLRN  IBIT    IBIT     1.0     0.15
 FLRN  IONQ    FLRN     6.0     0.16
 FLRN   ITA     ITA     2.0     0.16
 FLRN   IWM     IWM     2.0     0.16
 FLRN   IYW     IYW     2.0     0.16
 FLRN  JAAA    JAAA     2.0     0.16
 FLRN  JEPI    JEPI     2.0     0.16
 FLRN  JPST    JPST     2.0     0.17
 FLRN  MINT    FLRN     7.0     0.17
 FLRN    MO    FLRN     8.0     0.17
 FLRN  MSFT    MSFT     3.0     0.17
 FLRN  NEAR    FLRN     9.0     0.17
 FLRN  NVDA    NVDA     3.0     0.18
 FLRN  PAXS    FLRN    10.0     0.18
 FLRN  PLTR    PLTR     2.0     0.18
 FLRN   QQQ     QQQ     2.0     0.18
 FLRN  QTUM    FLRN    11.0     0.18
 FLRN  SCHD    SCHD     3.0     0.18
 FLRN   SHY    FLRN    12.0     0.19
 FLRN  SHYG    FLRN    13.0     0.19
 FLRN   SPY     SPY     2.0     0.19
 FLRN  STWD    STWD     2.0     0.19
 FLRN  TSLA    FLRN    14.0     0.19
 FLRN   VIG     VIG     2.0     0.19
 FLRN   VNQ     VNQ     2.0     0.20
 FLRN  VRIG    FLRN    15.0     0.20
 FLRN  VCSH    VCSH     1.0     0.20
 FLRN   VNQ     VNQ     2.0     0.20
 FLRN  XDTE    FLRN    16.0     0.20
 FLRN   XLP     XLP     2.0     0.21
 FLTR  FTLS    FLTR     1.0     0.21
 FLTR  FTSL    FLTR     2.0     0.21
 FLTR  GBIL    GBIL     3.0     0.21
 FLTR   GLD     GLD     2.0     0.21
 FLTR  GOOG    GOOG     3.0     0.21
 FLTR   GSY    FLTR     3.0     0.22
 FLTR   IAK    FLTR     4.0     0.22
 FLTR  IBIT    IBIT     2.0     0.22
 FLTR  IONQ    IONQ     1.0     0.22
 FLTR   ITA    FLTR     5.0     0.22
 FLTR   IWM     IWM     3.0     0.22
 FLTR   IYW     IYW     3.0     0.23
 FLTR  JAAA    JAAA     3.0     0.23
 FLTR  JEPI    JEPI     3.0     0.23
 FLTR  JPST    JPST     3.0     0.23
 FLTR  MINT    FLTR     6.0     0.23
 FLTR    MO    FLTR     7.0     0.24
 FLTR  MSFT    MSFT     4.0     0.24
 FLTR  NEAR    FLTR     8.0     0.24
 FLTR  NVDA    NVDA     4.0     0.24
 FLTR  PAXS    FLTR     9.0     0.24
 FLTR  PLTR    PLTR     3.0     0.24
 FLTR   QQQ     QQQ     3.0     0.25
 FLTR  QTUM    FLTR    10.0     0.25
 FLTR  SCHD    SCHD     4.0     0.25
 FLTR   SHY     SHY     1.0     0.25
 FLTR  SHYG    FLTR    11.0     0.25
 FLTR   SPY     SPY     3.0     0.25
 FLTR  STWD    FLTR    12.0     0.26
 FLTR  TSLA    TSLA     1.0     0.26
 FLTR   VIG     VIG     3.0     0.26
 FLTR   VNQ     VNQ     3.0     0.26
 FLTR  VRIG    VRIG     1.0     0.26
 FLTR  VCSH    VCSH     2.0     0.26
 FLTR   VNQ     VNQ     3.0     0.27
 FLTR  XDTE    FLTR    13.0     0.27
 FLTR   XLP     XLP     3.0     0.27
 FTLS  FTSL    FTLS     1.0     0.27
 FTLS  GBIL    GBIL     4.0     0.27
 FTLS   GLD     GLD     3.0     0.28
 FTLS  GOOG    GOOG     4.0     0.28
 FTLS   GSY     GSY     1.0     0.28
 FTLS   IAK    FTLS     2.0     0.28
 FTLS  IBIT    IBIT     3.0     0.28
 FTLS  IONQ    FTLS     3.0     0.28
 FTLS   ITA     ITA     3.0     0.29
 FTLS   IWM     IWM     4.0     0.29
 FTLS   IYW     IYW     4.0     0.29
 FTLS  JAAA    JAAA     4.0     0.29
 FTLS  JEPI    JEPI     4.0     0.29
 FTLS  JPST    JPST     4.0     0.29
 FTLS  MINT    MINT     1.0     0.30
 FTLS    MO      MO     1.0     0.30
 FTLS  MSFT    MSFT     5.0     0.30
 FTLS  NEAR    FTLS     4.0     0.30
 FTLS  NVDA    NVDA     5.0     0.30
 FTLS  PAXS    FTLS     5.0     0.31
 FTLS  PLTR    PLTR     4.0     0.31
 FTLS   QQQ     QQQ     4.0     0.31
 FTLS  QTUM    FTLS     6.0     0.31
 FTLS  SCHD    SCHD     5.0     0.31
 FTLS   SHY     SHY     2.0     0.31
 FTLS  SHYG    FTLS     7.0     0.32
 FTLS   SPY     SPY     4.0     0.32
 FTLS  STWD    STWD     3.0     0.32
 FTLS  TSLA    TSLA     2.0     0.32
 FTLS   VIG     VIG     4.0     0.32
 FTLS   VNQ     VNQ     4.0     0.32
 FTLS  VRIG    VRIG     2.0     0.33
 FTLS  VCSH    VCSH     3.0     0.33
 FTLS   VNQ     VNQ     4.0     0.33
 FTLS  XDTE    XDTE     1.0     0.33
 FTLS   XLP     XLP     4.0     0.33
 FTSL  GBIL    GBIL     5.0     0.34
 FTSL   GLD     GLD     4.0     0.34
 FTSL  GOOG    GOOG     5.0     0.34
 FTSL   GSY     GSY     2.0     0.34
 FTSL   IAK     IAK     1.0     0.34
 FTSL  IBIT    IBIT     4.0     0.34
 FTSL  IONQ    IONQ     2.0     0.35
 FTSL   ITA             0.0     0.35
 FTSL   IWM     IWM     5.0     0.35
 FTSL   IYW     IYW     5.0     0.35
 FTSL  JAAA    JAAA     5.0     0.35
 FTSL  JEPI    JEPI     5.0     0.35
 FTSL  JPST    JPST     5.0     0.36
 FTSL  MINT    MINT     2.0     0.36
 FTSL    MO      MO     2.0     0.36
 FTSL  MSFT    MSFT     6.0     0.36
 FTSL  NEAR    FTSL     1.5     0.36
 FTSL  NVDA    NVDA     6.0     0.37
 FTSL  PAXS    FTSL     2.5     0.37
 FTSL  PLTR    PLTR     5.0     0.37
 FTSL   QQQ     QQQ     5.0     0.37
 FTSL  QTUM    FTSL     3.5     0.37
 FTSL  SCHD    SCHD     6.0     0.37
 FTSL   SHY     SHY     3.0     0.38
 FTSL  SHYG    SHYG     1.0     0.38
 FTSL   SPY     SPY     5.0     0.38
 FTSL  STWD    STWD     4.0     0.38
 FTSL  TSLA    TSLA     3.0     0.38
 FTSL   VIG     VIG     5.0     0.38
 FTSL   VNQ     VNQ     5.0     0.39
 FTSL  VRIG    VRIG     3.0     0.39
 FTSL  VCSH    VCSH     4.0     0.39
 FTSL   VNQ     VNQ     5.0     0.39
 FTSL  XDTE    XDTE     2.0     0.39
 FTSL   XLP     XLP     5.0     0.39
 GBIL   GLD    GBIL     6.0     0.40
 GBIL  GOOG    GBIL     7.0     0.40
 GBIL   GSY    GBIL     8.0     0.40
 GBIL   IAK    GBIL     9.0     0.40
 GBIL  IBIT    GBIL    10.0     0.40
 GBIL  IONQ    GBIL    11.0     0.41
 GBIL   ITA    GBIL    12.0     0.41
 GBIL   IWM    GBIL    13.0     0.41
 GBIL   IYW     IYW     6.0     0.41
 GBIL  JAAA    JAAA     6.0     0.41
 GBIL  JEPI    JEPI     6.0     0.41
 GBIL  JPST    JPST     6.0     0.42
 GBIL  MINT    GBIL    14.0     0.42
 GBIL    MO    GBIL    15.0     0.42
 GBIL  MSFT    MSFT     7.0     0.42
 GBIL  NEAR    GBIL    16.0     0.42
 GBIL  NVDA    GBIL    17.0     0.42
 GBIL  PAXS    GBIL    18.0     0.43
 GBIL  PLTR    PLTR     6.0     0.43
 GBIL   QQQ     QQQ     6.0     0.43
 GBIL  QTUM    GBIL    19.0     0.43
 GBIL  SCHD    SCHD     7.0     0.43
 GBIL   SHY    GBIL    20.0     0.44
 GBIL  SHYG    GBIL    21.0     0.44
 GBIL   SPY     SPY     6.0     0.44
 GBIL  STWD    GBIL    22.0     0.44
 GBIL  TSLA    GBIL    23.0     0.44
 GBIL   VIG     VIG     6.0     0.44
 GBIL   VNQ    GBIL    24.0     0.45
 GBIL  VRIG    GBIL    25.0     0.45
 GBIL  VCSH    GBIL    26.0     0.45
 GBIL   VNQ    GBIL    27.0     0.45
 GBIL  XDTE    GBIL    28.0     0.45
 GBIL   XLP     XLP     6.0     0.45
  GLD  GOOG    GOOG     6.0     0.46
  GLD   GSY     GLD     5.0     0.46
  GLD   IAK     GLD     6.0     0.46
  GLD  IBIT     GLD     7.0     0.46
  GLD  IONQ     GLD     8.0     0.46
  GLD   ITA     ITA     4.5     0.47
  GLD   IWM     GLD     9.0     0.47
  GLD   IYW     IYW     7.0     0.47
  GLD  JAAA    JAAA     7.0     0.47
  GLD  JEPI    JEPI     7.0     0.47
  GLD  JPST    JPST     7.0     0.47
  GLD  MINT     GLD    10.0     0.48
  GLD    MO     GLD    11.0     0.48
  GLD  MSFT    MSFT     8.0     0.48
  GLD  NEAR     GLD    12.0     0.48
  GLD  NVDA    NVDA     7.0     0.48
  GLD  PAXS     GLD    13.0     0.48
  GLD  PLTR    PLTR     7.0     0.49
  GLD   QQQ     QQQ     7.0     0.49
  GLD  QTUM     GLD    14.0     0.49
  GLD  SCHD    SCHD     8.0     0.49
  GLD   SHY     GLD    15.0     0.49
  GLD  SHYG     GLD    16.0     0.49
  GLD   SPY     SPY     7.0     0.50
  GLD  STWD    STWD     5.0     0.50
  GLD  TSLA     GLD    17.0     0.50
  GLD   VIG     VIG     7.0     0.50
  GLD   VNQ     GLD    18.0     0.50
  GLD  VRIG    VRIG     4.0     0.51
  GLD  VCSH    VCSH     5.0     0.51
  GLD   VNQ     GLD    19.0     0.51
  GLD  XDTE     GLD    20.0     0.51
  GLD   XLP     GLD    21.0     0.51
 GOOG   GSY    GOOG     7.0     0.51
 GOOG   IAK    GOOG     8.0     0.52
 GOOG  IBIT    GOOG     9.0     0.52
 GOOG  IONQ    GOOG    10.0     0.52
 GOOG   ITA    GOOG    11.0     0.52
 GOOG   IWM    GOOG    12.0     0.52
 GOOG   IYW    GOOG    13.0     0.52
 GOOG  JAAA    JAAA     8.0     0.53
 GOOG  JEPI    JEPI     8.0     0.53
 GOOG  JPST    JPST     8.0     0.53
 GOOG  MINT    GOOG    14.0     0.53
 GOOG    MO    GOOG    15.0     0.53
 GOOG  MSFT    MSFT     9.0     0.54
 GOOG  NEAR    GOOG    16.0     0.54
 GOOG  NVDA    NVDA     8.0     0.54
 GOOG  PAXS    GOOG    17.0     0.54
 GOOG  PLTR    GOOG    18.0     0.54
 GOOG   QQQ     QQQ     8.0     0.54
 GOOG  QTUM    GOOG    19.0     0.55
 GOOG  SCHD    SCHD     9.0     0.55
 GOOG   SHY     SHY     4.0     0.55
 GOOG  SHYG    GOOG    20.0     0.55
 GOOG   SPY     SPY     8.0     0.55
 GOOG  STWD    GOOG    21.0     0.55
 GOOG  TSLA    GOOG    22.0     0.56
 GOOG   VIG    GOOG    23.0     0.56
 GOOG   VNQ    GOOG    24.0     0.56
 GOOG  VRIG    GOOG    25.0     0.56
 GOOG  VCSH    GOOG    26.0     0.56
 GOOG   VNQ    GOOG    27.0     0.57
 GOOG  XDTE    GOOG    28.0     0.57
 GOOG   XLP    GOOG    29.0     0.57
  GSY   IAK     GSY     3.0     0.57
  GSY  IBIT    IBIT     5.0     0.57
  GSY  IONQ    IONQ     3.0     0.57
  GSY   ITA     GSY     4.0     0.58
  GSY   IWM     IWM     6.0     0.58
  GSY   IYW     IYW     8.0     0.58
  GSY  JAAA    JAAA     9.0     0.58
  GSY  JEPI    JEPI     9.0     0.58
  GSY  JPST    JPST     9.0     0.58
  GSY  MINT     GSY     5.0     0.59
  GSY    MO     GSY     6.0     0.59
  GSY  MSFT    MSFT    10.0     0.59
  GSY  NEAR     GSY     7.0     0.59
  GSY  NVDA    NVDA     9.0     0.59
  GSY  PAXS     GSY     8.0     0.60
  GSY  PLTR    PLTR     8.0     0.60
  GSY   QQQ     QQQ     9.0     0.60
  GSY  QTUM     GSY     9.0     0.60
  GSY  SCHD    SCHD    10.0     0.60
  GSY   SHY     GSY    10.0     0.60
  GSY  SHYG     GSY    11.0     0.61
  GSY   SPY     SPY     9.0     0.61
  GSY  STWD     GSY    12.0     0.61
  GSY  TSLA    TSLA     4.0     0.61
  GSY   VIG     GSY    13.0     0.61
  GSY   VNQ     VNQ     6.0     0.61
  GSY  VRIG     GSY    14.0     0.62
  GSY  VCSH    VCSH     6.0     0.62
  GSY   VNQ     VNQ     6.0     0.62
  GSY  XDTE     GSY    15.0     0.62
  GSY   XLP     GSY    16.0     0.62
  IAK  IBIT    IBIT     6.0     0.62
  IAK  IONQ    IONQ     4.0     0.63
  IAK   ITA     ITA     5.5     0.63
  IAK   IWM     IWM     7.0     0.63
  IAK   IYW     IYW     9.0     0.63
  IAK  JAAA    JAAA    10.0     0.63
  IAK  JEPI    JEPI    10.0     0.64
  IAK  JPST    JPST    10.0     0.64
  IAK  MINT    MINT     3.0     0.64
  IAK    MO      MO     3.0     0.64
  IAK  MSFT    MSFT    11.0     0.64
  IAK  NEAR    NEAR     1.0     0.64
  IAK  NVDA    NVDA    10.0     0.65
  IAK  PAXS     IAK     2.0     0.65
  IAK  PLTR    PLTR     9.0     0.65
  IAK   QQQ     QQQ    10.0     0.65
  IAK  QTUM     IAK     3.0     0.65
  IAK  SCHD    SCHD    11.0     0.65
  IAK   SHY     SHY     5.0     0.66
  IAK  SHYG    SHYG     2.0     0.66
  IAK   SPY     SPY    10.0     0.66
  IAK  STWD    STWD     6.0     0.66
  IAK  TSLA    TSLA     5.0     0.66
  IAK   VIG     VIG     8.0     0.67
  IAK   VNQ     VNQ     7.0     0.67
  IAK  VRIG    VRIG     5.0     0.67
  IAK  VCSH    VCSH     7.0     0.67
  IAK   VNQ     VNQ     7.0     0.67
  IAK  XDTE    XDTE     3.0     0.67
  IAK   XLP     XLP     7.0     0.68
 IBIT  IONQ    IONQ     5.0     0.68
 IBIT   ITA    IBIT     7.0     0.68
 IBIT   IWM     IWM     8.0     0.68
 IBIT   IYW    IBIT     8.0     0.68
 IBIT  JAAA    JAAA    11.0     0.68
 IBIT  JEPI    JEPI    11.0     0.69
 IBIT  JPST    JPST    11.0     0.69
 IBIT  MINT    IBIT     9.0     0.69
 IBIT    MO    IBIT    10.0     0.69
 IBIT  MSFT    MSFT    12.0     0.69
 IBIT  NEAR    IBIT    11.0     0.69
 IBIT  NVDA    NVDA    11.0     0.70
 IBIT  PAXS    IBIT    12.0     0.70
 IBIT  PLTR    PLTR    10.0     0.70
 IBIT   QQQ     QQQ    11.0     0.70
 IBIT  QTUM    IBIT    13.0     0.70
 IBIT  SCHD    SCHD    12.0     0.71
 IBIT   SHY     SHY     6.0     0.71
 IBIT  SHYG    IBIT    14.0     0.71
 IBIT   SPY     SPY    11.0     0.71
 IBIT  STWD    STWD     7.0     0.71
 IBIT  TSLA    TSLA     6.0     0.71
 IBIT   VIG     VIG     9.0     0.72
 IBIT   VNQ     VNQ     8.0     0.72
 IBIT  VRIG    VRIG     6.0     0.72
 IBIT  VCSH    VCSH     8.0     0.72
 IBIT   VNQ    IBIT    15.0     0.72
 IBIT  XDTE    XDTE     4.0     0.72
 IBIT   XLP     XLP     8.0     0.73
 IONQ   ITA    IONQ     6.0     0.73
 IONQ   IWM     IWM     9.0     0.73
 IONQ   IYW    IONQ     7.0     0.73
 IONQ  JAAA    JAAA    12.0     0.73
 IONQ  JEPI    JEPI    12.0     0.74
 IONQ  JPST    JPST    12.0     0.74
 IONQ  MINT    IONQ     8.0     0.74
 IONQ    MO    IONQ     9.0     0.74
 IONQ  MSFT    MSFT    13.0     0.74
 IONQ  NEAR    IONQ    10.0     0.74
 IONQ  NVDA    NVDA    12.0     0.75
 IONQ  PAXS    IONQ    11.0     0.75
 IONQ  PLTR    PLTR    11.0     0.75
 IONQ   QQQ     QQQ    12.0     0.75
 IONQ  QTUM    IONQ    12.0     0.75
 IONQ  SCHD    SCHD    13.0     0.75
 IONQ   SHY     SHY     7.0     0.76
 IONQ  SHYG    IONQ    13.0     0.76
 IONQ   SPY     SPY    12.0     0.76
 IONQ  STWD    STWD     8.0     0.76
 IONQ  TSLA    TSLA     7.0     0.76
 IONQ   VIG     VIG    10.0     0.77
 IONQ   VNQ     VNQ     9.0     0.77
 IONQ  VRIG    IONQ    14.0     0.77
 IONQ  VCSH    VCSH     9.0     0.77
 IONQ   VNQ     VNQ     8.0     0.77
 IONQ  XDTE    IONQ    15.0     0.77
 IONQ   XLP     XLP     9.0     0.78
  ITA   IWM     IWM    10.0     0.78
  ITA   IYW     IYW    10.0     0.78
  ITA  JAAA    JAAA    13.0     0.78
  ITA  JEPI    JEPI    13.0     0.78
  ITA  JPST    JPST    13.0     0.78
  ITA  MINT     ITA     6.5     0.79
  ITA    MO     ITA     7.5     0.79
  ITA  MSFT    MSFT    14.0     0.79
  ITA  NEAR     ITA     8.5     0.79
  ITA  NVDA    NVDA    13.0     0.79
  ITA  PAXS     ITA     9.5     0.79
  ITA  PLTR    PLTR    12.0     0.80
  ITA   QQQ     QQQ    13.0     0.80
  ITA  QTUM     ITA    10.5     0.80
  ITA  SCHD    SCHD    14.0     0.80
  ITA   SHY     SHY     8.0     0.80
  ITA  SHYG     ITA    11.5     0.81
  ITA   SPY     ITA    12.5     0.81
  ITA  STWD     ITA    13.5     0.81
  ITA  TSLA    TSLA     8.0     0.81
  ITA   VIG     VIG    11.0     0.81
  ITA   VNQ     VNQ    10.0     0.81
  ITA  VRIG    VRIG     7.0     0.82
  ITA  VCSH    VCSH    10.0     0.82
  ITA   VNQ     VNQ     9.0     0.82
  ITA  XDTE    XDTE     5.0     0.82
  ITA   XLP     ITA    14.5     0.82
  IWM   IYW     IYW    11.0     0.82
  IWM  JAAA    JAAA    14.0     0.83
  IWM  JEPI    JEPI    14.0     0.83
  IWM  JPST    JPST    14.0     0.83
  IWM  MINT    MINT     4.0     0.83
  IWM    MO     IWM    11.0     0.83
  IWM  MSFT    MSFT    15.0     0.84
  IWM  NEAR    NEAR     2.0     0.84
  IWM  NVDA    NVDA    14.0     0.84
  IWM  PAXS     IWM    12.0     0.84
  IWM  PLTR    PLTR    13.0     0.84
  IWM   QQQ     QQQ    14.0     0.84
  IWM  QTUM     IWM    13.0     0.85
  IWM  SCHD    SCHD    15.0     0.85
  IWM   SHY     IWM    14.0     0.85
  IWM  SHYG     IWM    15.0     0.85
  IWM   SPY     SPY    13.0     0.85
  IWM  STWD    STWD     9.0     0.85
  IWM  TSLA     IWM    16.0     0.86
  IWM   VIG     VIG    12.0     0.86
  IWM   VNQ     VNQ    11.0     0.86
  IWM  VRIG    VRIG     8.0     0.86
  IWM  VCSH    VCSH    11.0     0.86
  IWM   VNQ     VNQ    10.0     0.86
  IWM  XDTE    XDTE     6.0     0.87
  IWM   XLP     XLP    10.0     0.87
  IYW  JAAA    JAAA    15.0     0.87
  IYW  JEPI    JEPI    15.0     0.87
  IYW  JPST    JPST    15.0     0.87
  IYW  MINT     IYW    12.0     0.88
  IYW    MO     IYW    13.0     0.88
  IYW  MSFT    MSFT    16.0     0.88
  IYW  NEAR     IYW    14.0     0.88
  IYW  NVDA    NVDA    15.0     0.88
  IYW  PAXS     IYW    15.0     0.88
  IYW  PLTR    PLTR    14.0     0.89
  IYW   QQQ     QQQ    15.0     0.89
  IYW  QTUM     IYW    16.0     0.89
  IYW  SCHD    SCHD    16.0     0.89
  IYW   SHY     IYW    17.0     0.89
  IYW  SHYG     IYW    18.0     0.89
  IYW   SPY     IYW    19.0     0.90
  IYW  STWD     IYW    20.0     0.90
  IYW  TSLA     IYW    21.0     0.90
  IYW   VIG     VIG    13.0     0.90
  IYW   VNQ     IYW    22.0     0.90
  IYW  VRIG     IYW    23.0     0.91
  IYW  VCSH     IYW    24.0     0.91
  IYW   VNQ     IYW    25.0     0.91
  IYW  XDTE     IYW    26.0     0.91
  IYW   XLP     IYW    27.0     0.91
 JAAA  JEPI    JEPI    16.0     0.91
 JAAA  JPST    JAAA    16.0     0.92
 JAAA  MINT    JAAA    17.0     0.92
 JAAA    MO    JAAA    18.0     0.92
 JAAA  MSFT    MSFT    17.0     0.92
 JAAA  NEAR    JAAA    19.0     0.92
 JAAA  NVDA    NVDA    16.0     0.92
 JAAA  PAXS    JAAA    20.0     0.93
 JAAA  PLTR    JAAA    21.0     0.93
 JAAA   QQQ     QQQ    16.0     0.93
 JAAA  QTUM    JAAA    22.0     0.93
 JAAA  SCHD    SCHD    17.0     0.93
 JAAA   SHY    JAAA    23.0     0.94
 JAAA  SHYG    JAAA    24.0     0.94
 JAAA   SPY     SPY    14.0     0.94
 JAAA  STWD    JAAA    25.0     0.94
 JAAA  TSLA    JAAA    26.0     0.94
 JAAA   VIG     VIG    14.0     0.94
 JAAA   VNQ    JAAA    27.0     0.95
 JAAA  VRIG    JAAA    28.0     0.95
 JAAA  VCSH    JAAA    29.0     0.95
 JAAA   VNQ    JAAA    30.0     0.95
 JAAA  XDTE    JAAA    31.0     0.95
 JAAA   XLP    JAAA    32.0     0.95
 JEPI  JPST    JEPI    17.0     0.96
 JEPI  MINT    JEPI    18.0     0.96
 JEPI    MO    JEPI    19.0     0.96
 JEPI  MSFT    MSFT    18.0     0.96
 JEPI  NEAR    JEPI    20.0     0.96
 JEPI  NVDA    JEPI    21.0     0.96
 JEPI  PAXS    JEPI    22.0     0.97
 JEPI  PLTR    JEPI    23.0     0.97
 JEPI   QQQ    JEPI    24.0     0.97
 JEPI  QTUM    JEPI    25.0     0.97
 JEPI  SCHD    SCHD    18.0     0.97
 JEPI   SHY    JEPI    26.0     0.98
 JEPI  SHYG    JEPI    27.0     0.98
 JEPI   SPY    JEPI    28.0     0.98
 JEPI  STWD    JEPI    29.0     0.98
 JEPI  TSLA    JEPI    30.0     0.98
 JEPI   VIG    JEPI    31.0     0.98
 JEPI   VNQ    JEPI    32.0     0.99
 JEPI  VRIG    JEPI    33.0     0.99
 JEPI  VCSH    JEPI    34.0     0.99
 JEPI   VNQ    JEPI    35.0     0.99
 JEPI  XDTE    JEPI    36.0     0.99
 JEPI   XLP    JEPI    37.0     0.99
 JPST  MINT    JPST    16.0     1.00
 JPST    MO    JPST    17.0     1.00
 JPST  MSFT    MSFT    19.0     1.00
 JPST  NEAR    JPST    18.0     1.00
 JPST  NVDA    NVDA    17.0     1.00
 JPST  PAXS    JPST    19.0     1.01
 JPST  PLTR    PLTR    15.0     1.01
 JPST   QQQ     QQQ    17.0     1.01
 JPST  QTUM    JPST    20.0     1.01
 JPST  SCHD    SCHD    19.0     1.01
 JPST   SHY    JPST    21.0     1.01
 JPST  SHYG    JPST    22.0     1.02
 JPST   SPY     SPY    15.0     1.02
 JPST  STWD    JPST    23.0     1.02
 JPST  TSLA    JPST    24.0     1.02
 JPST   VIG     VIG    15.0     1.02
 JPST   VNQ    JPST    25.0     1.02
 JPST  VRIG    JPST    26.0     1.03
 JPST  VCSH    JPST    27.0     1.03
 JPST   VNQ    JPST    28.0     1.03
 JPST  XDTE    JPST    29.0     1.03
